x,y,z,cc_x,cc_y,cc_z,inter_x,inter_y,inter_z,tau_energy,decay_energy,decay_pdg,xdir,ydir,zdir,index,second_index
-1.7292272761066962,2.6845785765065457,0.7399115413624052,-1.7292272761066962,2.6845785765065457,0.7399115413624052,0.17598495558022562,-0.7336881048340291,1.7503475190568767,2.8112366142968996e6,1.8488523306362736e6,13,0.47138850145138106,-0.8457491410558531,0.2500025421924901,8,1
-1.740764924986785,3.6974845334596544,1.1929752461383627,-1.740764924986785,3.6974845334596544,1.1929752461383627,0.049321062037521665,-1.1010671628879718,2.1425380707790063,158235.69196224635,1954.1793042805814,-211,0.3436620543027189,-0.9212295641651959,0.1822977853415629,9,1
-0.5920163955949117,3.1376301174679693,0.3240344653926508,-0.5920163955949117,3.1376301174679693,0.3240344653926508,0.9116127614918342,0.3811186312676245,1.352229141500542,1.2851740187923566e6,394781.06472095626,11,0.45509305970060815,-0.8342943075041833,0.3111965865469188,14,1
-4.977737946984978,2.2058642526335968,0.852495247214969,-4.977737946984978,2.2058642526335968,0.852495247214969,1.0130958094016362,0.23811176205550222,1.8448662424135043,6.333524354045381e6,3.938584864495701e6,-211,0.9385118765606221,-0.30826411775665147,0.1554628291855416,21,1
-4.977737946984978,2.2058642526335968,0.852495247214969,-4.977737946984978,2.2058642526335968,0.852495247214969,1.0130958094016362,0.23811176205550222,1.8448662424135043,6.333524354045381e6,2.368589010492099e6,111,0.9385118765606221,-0.30826411775665147,0.1554628291855416,21,2
-7.2343796791207104,0.11094100921870752,0.19350775605318093,-7.2343796791207104,0.11094100921870752,0.19350775605318093,0.0930304866617727,-0.7288344470293081,1.5543616455189295,110681.61521823893,33788.54084271125,-211,0.977004645541203,-0.11197196600201131,0.18145027258329677,27,1
-7.2343796791207104,0.11094100921870752,0.19350775605318093,-7.2343796791207104,0.11094100921870752,0.19350775605318093,0.0930304866617727,-0.7288344470293081,1.5543616455189295,110681.61521823893,22964.4475738837,111,0.977004645541203,-0.11197196600201131,0.18145027258329677,27,2
-0.6656394422455316,0.3842752004502347,-0.599507354591402,-0.6656394422455316,0.3842752004502347,-0.599507354591402,1.119372883839704,1.5869746310948696,-0.4040094264362356,1.5100711462771778e6,580375.7593851822,11,0.8259190389371933,0.5564848731699426,0.09045621622694455,36,1
-11.047959185799058,-8.330877166803646,0.25737911284849874,-11.047959185799058,-8.330877166803646,0.25737911284849874,6.877568305694761,7.26584476168916,2.101740990519224,1.356645005011904e8,2.930532811458419e6,-211,0.7521490578824748,0.6544331657820124,0.07738879926086796,46,1
-11.047959185799058,-8.330877166803646,0.25737911284849874,-11.047959185799058,-8.330877166803646,0.25737911284849874,6.877568305694761,7.26584476168916,2.101740990519224,1.356645005011904e8,8.479506141581725e7,111,0.7521490578824748,0.6544331657820124,0.07738879926086796,46,2
-5.883204434871026,8.842535714737886,-0.43404631463345433,-5.883204434871026,8.842535714737886,-0.43404631463345433,-0.00038917066321773495,-0.1806672185541361,0.3324320088420849,1.5903371449213752e8,5.209329501551561e6,-211,0.5447677156297688,-0.835577768273718,0.07097837117204328,54,1
-5.883204434871026,8.842535714737886,-0.43404631463345433,-5.883204434871026,8.842535714737886,-0.43404631463345433,-0.00038917066321773495,-0.1806672185541361,0.3324320088420849,1.5903371449213752e8,1.3257218246775602e8,111,0.5447677156297688,-0.835577768273718,0.07097837117204328,54,2
-2.3266302818925944,1.3455146853338351,0.01213377351180342,-2.3266302818925944,1.3455146853338351,0.01213377351180342,0.3036067349997448,0.12547456326075868,0.45303460932235373,7.41064517547941e6,942558.2489591176,-211,0.89684924528874,-0.4160051188071346,0.1503368629155187,65,1
-2.3266302818925944,1.3455146853338351,0.01213377351180342,-2.3266302818925944,1.3455146853338351,0.01213377351180342,0.3036067349997448,0.12547456326075868,0.45303460932235373,7.41064517547941e6,2.0306909232291616e6,111,0.89684924528874,-0.4160051188071346,0.1503368629155187,65,2
-2.3266302818925944,1.3455146853338351,0.01213377351180342,-2.3266302818925944,1.3455146853338351,0.01213377351180342,0.3036067349997448,0.12547456326075868,0.45303460932235373,7.41064517547941e6,4.424724720017839e6,111,0.89684924528874,-0.4160051188071346,0.1503368629155187,65,3
-1.5071479561884205,1.0610938977130469,0.5507058166228895,-1.5071479561884205,1.0610938977130469,0.5507058166228895,6.19502343176756,5.649273634907156,3.5452370065758214,17958.956159571728,4524.299224837964,-211,0.8148641488608541,0.4854141758278235,0.31681145308632824,66,1
-1.5071479561884205,1.0610938977130469,0.5507058166228895,-1.5071479561884205,1.0610938977130469,0.5507058166228895,6.19502343176756,5.649273634907156,3.5452370065758214,17958.956159571728,5432.140395219473,-211,0.8148641488608541,0.4854141758278235,0.31681145308632824,66,2
-1.5071479561884205,1.0610938977130469,0.5507058166228895,-1.5071479561884205,1.0610938977130469,0.5507058166228895,6.19502343176756,5.649273634907156,3.5452370065758214,17958.956159571728,1006.4585350608492,211,0.8148641488608541,0.4854141758278235,0.31681145308632824,66,3
-1.5071479561884205,1.0610938977130469,0.5507058166228895,-1.5071479561884205,1.0610938977130469,0.5507058166228895,6.19502343176756,5.649273634907156,3.5452370065758214,17958.956159571728,6618.8207110490275,111,0.8148641488608541,0.4854141758278235,0.31681145308632824,66,4
-1.5478622379183518,1.5433718162098955,-0.1471670329949708,-1.5478622379183518,1.5433718162098955,-0.1471670329949708,-0.2875422416411833,-0.3320980996181465,-0.03561940485085096,1.4599488186485441e6,265706.7443147289,-211,0.5570839425952658,-0.8289911911375616,0.04930604343121975,80,1
